"filename", "language", "JavaScript", "TypeScript JSX", "TypeScript", "CSS", "JSON with Comments", "JSON", "Markdown", "XML", "comment", "blank", "total"
"/Users/invincibleinventor/falarapp/components/Iof.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/invincibleinventor/falarapp/components/LikeComponent.tsx", "TypeScript JSX", 0, 113, 0, 0, 0, 0, 0, 0, 4, 15, 132
"/Users/invincibleinventor/falarapp/components/Menu.tsx", "TypeScript JSX", 0, 102, 0, 0, 0, 0, 0, 0, 0, 8, 110
"/Users/invincibleinventor/falarapp/components/MessageBar.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 0, 0, 0, 6, 38
"/Users/invincibleinventor/falarapp/components/MessageItem.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 0, 7, 30
"/Users/invincibleinventor/falarapp/components/More.tsx", "TypeScript JSX", 0, 115, 0, 0, 0, 0, 0, 0, 0, 10, 125
"/Users/invincibleinventor/falarapp/components/MoreAll.tsx", "TypeScript JSX", 0, 115, 0, 0, 0, 0, 0, 0, 0, 8, 123
"/Users/invincibleinventor/falarapp/components/MoreAllQuickies.tsx", "TypeScript JSX", 0, 153, 0, 0, 0, 0, 0, 0, 0, 13, 166
"/Users/invincibleinventor/falarapp/components/MoreBookMarks.tsx", "TypeScript JSX", 0, 99, 0, 0, 0, 0, 0, 0, 0, 6, 105
"/Users/invincibleinventor/falarapp/components/MoreBookmarkQuickies.tsx", "TypeScript JSX", 0, 111, 0, 0, 0, 0, 0, 0, 0, 11, 122
"/Users/invincibleinventor/falarapp/components/MoreComments.tsx", "TypeScript JSX", 0, 109, 0, 0, 0, 0, 0, 0, 1, 6, 116
"/Users/invincibleinventor/falarapp/components/MoreHashtags.tsx", "TypeScript JSX", 0, 152, 0, 0, 0, 0, 0, 0, 0, 11, 163
"/Users/invincibleinventor/falarapp/components/MoreNotifications.tsx", "TypeScript JSX", 0, 79, 0, 0, 0, 0, 0, 0, 0, 9, 88
"/Users/invincibleinventor/falarapp/components/MoreQuickies.tsx", "TypeScript JSX", 0, 154, 0, 0, 0, 0, 0, 0, 0, 12, 166
"/Users/invincibleinventor/falarapp/components/MoreSearchPosts.tsx", "TypeScript JSX", 0, 93, 0, 0, 0, 0, 0, 0, 0, 6, 99
"/Users/invincibleinventor/falarapp/components/MoreSearchQuickies.tsx", "TypeScript JSX", 0, 159, 0, 0, 0, 0, 0, 0, 0, 13, 172
"/Users/invincibleinventor/falarapp/components/MoreSearchUsers.tsx", "TypeScript JSX", 0, 119, 0, 0, 0, 0, 0, 0, 0, 12, 131
"/Users/invincibleinventor/falarapp/components/MoreUsers.tsx", "TypeScript JSX", 0, 114, 0, 0, 0, 0, 0, 0, 0, 10, 124
"/Users/invincibleinventor/falarapp/components/NavBar.tsx", "TypeScript JSX", 0, 292, 0, 0, 0, 0, 0, 0, 0, 2, 294
"/Users/invincibleinventor/falarapp/components/NewButton.tsx", "TypeScript JSX", 0, 59, 0, 0, 0, 0, 0, 0, 0, 3, 62
"/Users/invincibleinventor/falarapp/components/Notification.tsx", "TypeScript JSX", 0, 41, 0, 0, 0, 0, 0, 0, 0, 4, 45
"/Users/invincibleinventor/falarapp/components/Notificationitem.tsx", "TypeScript JSX", 0, 68, 0, 0, 0, 0, 0, 0, 0, 3, 71
"/Users/invincibleinventor/falarapp/components/PostAComment.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 0, 0, 0, 0, 3, 42
"/Users/invincibleinventor/falarapp/components/PostComponent.tsx", "TypeScript JSX", 0, 81, 0, 0, 0, 0, 0, 0, 0, 3, 84
"/Users/invincibleinventor/falarapp/components/QCommentComponent.tsx", "TypeScript JSX", 0, 131, 0, 0, 0, 0, 0, 0, 1, 6, 138
"/Users/invincibleinventor/falarapp/components/QuickieBookMarksComponent.tsx", "TypeScript JSX", 0, 88, 0, 0, 0, 0, 0, 0, 0, 15, 103
"/Users/invincibleinventor/falarapp/components/QuickieComments.tsx", "TypeScript JSX", 0, 152, 0, 0, 0, 0, 0, 0, 0, 5, 157
"/Users/invincibleinventor/falarapp/components/QuickieCommentsComponent.tsx", "TypeScript JSX", 0, 162, 0, 0, 0, 0, 0, 0, 1, 7, 170
"/Users/invincibleinventor/falarapp/components/QuickieComponent.tsx", "TypeScript JSX", 0, 149, 0, 0, 0, 0, 0, 0, 1, 9, 159
"/Users/invincibleinventor/falarapp/components/QuickieExpandedLikeComponent.tsx", "TypeScript JSX", 0, 117, 0, 0, 0, 0, 0, 0, 0, 12, 129
